S.NO,Submitted Time,1. Name,2. select book,3. Number of quantity
418,03-08-2022,L Surya,The Data science handbook-Field cady,1
419,03-08-2022,L Surya,The Data science handbook-Field cady,1
420,03-08-2022,M Surya,Data science for dummies,1
421,03-08-2022,N Surya,Practical statistics for data scientist,1
422,03-08-2022,N Surya,Data science for dummies,1
423,03-08-2022,G Surya,Data science from scratch,1
424,03-08-2022,U Surya,The Data science handbook-Field cady,1
425,03-08-2022,G Surya,Practical statistics for data scientist,1
426,03-08-2022,H Surya,The Data science handbook-Field cady,1
427,03-08-2022,H Surya,Practical statistics for data scientist,1
428,03-08-2022,M Surya,Practical statistics for data scientist,1
429,03-08-2022,M Surya,Data science for dummies,1
430,03-08-2022,N Surya,Data science for dummies,1
431,03-08-2022,P Surya,Data science for dummies,1
432,03-08-2022,P Surya,Data science with python,1
433,03-08-2022,A Sivakumar,The Data science handbook-Field cady,1
434,03-08-2022,B Sivakumar,The Data science handbook-Field cady,1
435,03-08-2022,B Sivakumar,Data science with python,1
436,03-08-2022,C Sivakumar,Data science from scratch,1
437,03-08-2022,C Sivakumar,The Data science handbook-Field cady,1
438,03-08-2022,D Sivakumar,Data science with python,1
439,03-08-2022,D Sivakumar,Data science for dummies,1
440,03-08-2022,G Sivakumar,Data science with python,1
441,03-08-2022,G Sivakumar,Data science for dummies,1
442,03-08-2022,H Sivakumar,The Data science handbook-Field cady,1
443,03-08-2022,M Sivakumar,Data science from scratch,1
444,03-08-2022,T Sivakumar,Data science from scratch,1
445,03-08-2022,H Sivakumar,Practical statistics for data scientist,1
446,03-08-2022,H Sivakumar,Data science for dummies,1
447,03-08-2022,M Sivakumar,Practical statistics for data scientist,1
448,03-08-2022,N Sivakumar,Practical statistics for data scientist,1
449,03-08-2022,D Sivakumar,Data science for dummies,1
450,03-08-2022,A Ranaprathap,Data science with python,1
451,03-08-2022,A Ranaprathap,Practical statistics for data scientist,1
452,03-08-2022,B Ranaprathap,Data science for dummies,1
453,03-08-2022,B Ranaprathap,Data science with python,1
454,03-08-2022,C Ranaprathap,Data science with python,1
455,03-08-2022,D Ranaprathap,The Data science handbook-Field cady,1
456,03-08-2022,D Ranaprathap,The Data science handbook-Field cady,1
457,03-08-2022,G Ranaprathap,Practical statistics for data scientist,1
458,03-08-2022,G Ranaprathap,The Data science handbook-Field cady,1
459,03-08-2022,G Ranaprathap,Data science with python,1
460,03-08-2022,H Ranaprathap,Data science for dummies,1
461,03-08-2022,I Ranaprathap,Data science for dummies,1
462,03-08-2022,J Ranaprathap,Data science from scratch,1
463,03-08-2022,J Ranaprathap,The Data science handbook-Field cady,1
464,03-08-2022,J Ranaprathap,Practical statistics for data scientist,1
465,03-08-2022,K Ranaprathap,Data science from scratch,1
466,03-08-2022,K Ranaprathap,The Data science handbook-Field cady,1
467,03-08-2022,M Ranaprathap,Data science for dummies,1
468,03-08-2022,M Ranaprathap,Data science for dummies,1
469,03-08-2022,N Ranaprathap,The Data science handbook-Field cady,1
470,03-08-2022,N Ranaprathap,The Data science handbook-Field cady,1
471,03-08-2022,P Ranaprathap,Data science for dummies,1
472,03-08-2022,P Ranaprathap,The Data science handbook-Field cady,1
473,03-08-2022,P Ranaprathap,Data science for dummies,1
474,03-08-2022,M Ranaprathap,Data science with python,1
475,03-08-2022,M Ranaprthap Reddy,Data science from scratch,1
476,03-08-2022,M Ranaprathap Reddy,The Data science handbook-Field cady,1
477,03-08-2022,M Ranaprthap Reddy,Data science with python,1
478,03-08-2022,J Ranaprathap Reddy,Practical statistics for data scientist,1
479,03-08-2022,J Ranaprathap Reddy,Data science with python,1
480,03-08-2022,A RanaPrathap Reddy,Data science with python,1
481,03-08-2022,A RanaPrathap Reddy,Practical statistics for data scientist,1
482,03-08-2022,B Ranaprathap Reddy,Practical statistics for data scientist,1
